3.400000035762786865e-01 3.364999890327453613e-01 3.605000078678131104e-01 3.594999909400939941e-01 3.524999916553497314e-01 3.490000069141387939e-01 3.490000069141387939e-01 3.580000102519989014e-01 3.519999980926513672e-01 3.564999997615814209e-01 3.485000133514404297e-01 3.510000109672546387e-01 3.574999868869781494e-01 3.574999868869781494e-01 3.479999899864196777e-01
3.240000009536743164e-01 3.350000083446502686e-01 3.345000147819519043e-01 3.445000052452087402e-01 3.459999859333038330e-01 3.389999866485595703e-01 3.425000011920928955e-01 3.364999890327453613e-01 3.379999995231628418e-01 3.370000123977661133e-01 3.359999954700469971e-01 3.395000100135803223e-01 3.375000059604644775e-01 3.375000059604644775e-01 3.389999866485595703e-01
3.389999866485595703e-01 3.249999880790710449e-01 3.285000026226043701e-01 3.274999856948852539e-01 3.235000073909759521e-01 3.230000138282775879e-01 3.280000090599060059e-01 3.224999904632568359e-01 3.280000090599060059e-01 3.305000066757202148e-01 3.375000059604644775e-01 3.370000123977661133e-01 3.260000050067901611e-01 3.429999947547912598e-01 3.395000100135803223e-01
3.289999961853027344e-01 3.465000092983245850e-01 3.459999859333038330e-01 3.529999852180480957e-01 3.580000102519989014e-01 3.585000038146972656e-01 3.585000038146972656e-01 3.639999926090240479e-01 3.549999892711639404e-01 3.600000143051147461e-01 3.594999909400939941e-01 3.585000038146972656e-01 3.524999916553497314e-01 3.664999902248382568e-01 3.589999973773956299e-01
3.219999969005584717e-01 3.310000002384185791e-01 3.339999914169311523e-01 3.384999930858612061e-01 3.449999988079071045e-01 3.420000076293945312e-01 3.490000069141387939e-01 3.434999883174896240e-01 3.555000126361846924e-01 3.634999990463256836e-01 3.605000078678131104e-01 3.670000135898590088e-01 3.670000135898590088e-01 3.644999861717224121e-01 3.734999895095825195e-01
3.510000109672546387e-01 3.714999854564666748e-01 3.765000104904174805e-01 3.790000081062316895e-01 3.880000114440917969e-01 3.865000009536743164e-01 3.795000016689300537e-01 3.919999897480010986e-01 4.004999995231628418e-01 4.124999940395355225e-01 4.199999868869781494e-01 4.239999949932098389e-01 4.314999878406524658e-01 4.429999887943267822e-01 4.395000040531158447e-01
3.409999907016754150e-01 3.790000081062316895e-01 3.885000050067901611e-01 4.045000076293945312e-01 4.149999916553497314e-01 4.185000061988830566e-01 4.235000014305114746e-01 4.264999926090240479e-01 4.424999952316284180e-01 4.485000073909759521e-01 4.505000114440917969e-01 4.505000114440917969e-01 4.550000131130218506e-01 4.715000092983245850e-01 4.704999923706054688e-01
3.515000045299530029e-01 3.779999911785125732e-01 3.970000147819519043e-01 4.149999916553497314e-01 4.199999868869781494e-01 4.180000126361846924e-01 4.259999990463256836e-01 4.410000145435333252e-01 4.580000042915344238e-01 4.709999859333038330e-01 4.760000109672546387e-01 4.945000112056732178e-01 5.139999985694885254e-01 5.230000019073486328e-01 5.230000019073486328e-01
3.625000119209289551e-01 3.930000066757202148e-01 4.065000116825103760e-01 4.305000007152557373e-01 4.410000145435333252e-01 4.550000131130218506e-01 4.634999930858612061e-01 4.729999899864196777e-01 4.959999918937683105e-01 5.019999742507934570e-01 5.329999923706054688e-01 5.370000004768371582e-01 5.580000281333923340e-01 5.674999952316284180e-01 5.914999842643737793e-01
3.589999973773956299e-01 3.964999914169311523e-01 4.219999909400939941e-01 4.289999902248382568e-01 4.474999904632568359e-01 4.564999938011169434e-01 4.699999988079071045e-01 4.864999949932098389e-01 5.055000185966491699e-01 5.090000033378601074e-01 5.264999866485595703e-01 5.550000071525573730e-01 5.835000276565551758e-01 5.950000286102294922e-01 6.025000214576721191e-01
