,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_layers,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
46,1.133532464504242,0.030678134579877378,0.1290435791015625,0.00299625313879983,100,"(4.0, 2.0)","{'batch_size': 100, 'layers': (4.0, 2.0)}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7566666603088379,0.010992411148703914,79
67,1.1124980449676514,0.04645246152135069,0.14080268144607544,0.014742880622361444,150,"(2.0, 2.0)","{'batch_size': 150, 'layers': (2.0, 2.0)}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7566666603088379,0.010992411148703914,79
78,0.6609110236167908,0.009873260271057923,0.09307026863098145,0.004339092951713649,150,"(2.0, 4.0, 2.0)","{'batch_size': 150, 'layers': (2.0, 4.0, 2.0)}",0.7950000166893005,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.763333335518837,0.020241600343832735,78
58,0.8019580841064453,0.021401833566094725,0.09694665670394897,0.006086992522671749,100,"(2.0, 4.0, 2.0)","{'batch_size': 100, 'layers': (2.0, 4.0, 2.0)}",0.7683333158493042,0.7433333396911621,0.7950000166893005,0.7483333349227905,0.7637500017881393,0.02032291752877376,76
56,0.7840041518211365,0.015111870125475711,0.09227186441421509,0.003038550096942029,100,"(8.0, 4.0, 4.0)","{'batch_size': 100, 'layers': (8.0, 4.0, 4.0)}",0.79666668176651,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7637500017881393,0.020895743409324822,76
47,1.2666915655136108,0.1302538629567859,0.13040941953659058,0.0023110766333514295,100,"(2.0, 2.0)","{'batch_size': 100, 'layers': (2.0, 2.0)}",0.7683333158493042,0.7433333396911621,0.7983333468437195,0.7483333349227905,0.7645833343267441,0.021614523236450835,75
79,0.7246734499931335,0.10066476990025594,0.09237217903137207,0.003171511747617248,150,"(4.0, 2.0, 4.0)","{'batch_size': 150, 'layers': (4.0, 2.0, 4.0)}",0.8100000023841858,0.7433333396911621,0.7599999904632568,0.7483333349227905,0.7654166668653488,0.02644110322287998,74
27,1.1006302237510681,0.05902053826515524,0.10792571306228638,0.012270177910877221,50,"(2.0, 2.0)","{'batch_size': 50, 'layers': (2.0, 2.0)}",0.7683333158493042,0.7883333563804626,0.7666666507720947,0.7483333349227905,0.767916664481163,0.014160545869935464,73
66,1.2328861355781555,0.045374073811180055,0.15772086381912231,0.02120770845834348,150,"(4.0, 2.0)","{'batch_size': 150, 'layers': (4.0, 2.0)}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7950000166893005,0.7683333307504654,0.018295419604891793,71
38,1.0820233225822449,0.0251003089973886,0.09671002626419067,0.004807747383811463,50,"(2.0, 4.0, 2.0)","{'batch_size': 50, 'layers': (2.0, 4.0, 2.0)}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7950000166893005,0.7683333307504654,0.018295419604891793,71
9,1.9235514402389526,0.023639181046481317,0.10001242160797119,0.00404813707697135,20,"(8.0, 8.0)","{'batch_size': 20, 'layers': (8.0, 8.0)}",0.7983333468437195,0.7483333349227905,0.7666666507720947,0.7733333110809326,0.7716666609048843,0.017911826152604057,70
28,1.5655364394187927,0.2808404465065023,0.13356727361679077,0.017345300274696728,50,"(4.0, 4.0)","{'batch_size': 50, 'layers': (4.0, 4.0)}",0.7583333253860474,0.7833333611488342,0.7983333468437195,0.7483333349227905,0.7720833420753479,0.019803733727481208,69
48,1.1844889521598816,0.012489915345662954,0.13423985242843628,0.012647926353761416,100,"(4.0, 4.0)","{'batch_size': 100, 'layers': (4.0, 4.0)}",0.7683333158493042,0.778333306312561,0.7666666507720947,0.7850000262260437,0.7745833247900009,0.007488430568079301,68
13,1.894554853439331,0.0439549550600329,0.10569709539413452,0.003361924365203943,20,"(16.0, 8.0)","{'batch_size': 20, 'layers': (16.0, 8.0)}",0.7699999809265137,0.800000011920929,0.7433333396911621,0.7883333563804626,0.7754166722297668,0.021388443674548497,67
